grid_id,위도,경도,cell_area_m2,full_cell_area_m2,area_ratio,is_boundary_cell
G0001,37.529360695872064,127.05932863016528,194150.1,250000,0.7766,True
G0002,37.53365379044265,127.06050655911953,116227.36,250000,0.4649,True
G0003,37.52552294165931,127.06588600793881,88139.25,250000,0.3526,True
G0004,37.529229472404246,127.06470086527982,250000.0,250000,1.0,False
G0005,37.533736151262296,127.06467467253637,250000.0,250000,1.0,False
G0006,37.53715570124597,127.06465479426159,237034.06,250000,0.9481,True
G0007,37.54280594667338,127.06589464800085,138856.49,250000,0.5554,True
G0008,37.5257709415537,127.07037960932945,184276.04,250000,0.7371,True
G0009,37.52925019452318,127.07035965478828,250000.0,250000,1.0,False
G0010,37.53375687673424,127.0703338025188,250000.0,250000,1.0,False
G0011,37.538263555482175,127.07030794449065,250000.0,250000,1.0,False
G0012,37.542770230766884,127.07028208070243,250000.0,250000,1.0,False
G0013,37.546641784898675,127.07025985725497,245504.96,250000,0.982,True
G0014,37.55179618151824,127.07124393278019,160616.01,250000,0.6425,True
G0015,37.52507901500031,127.07604217324314,237443.05,250000,0.9498,True
G0016,37.529270645511254,127.07601845005408,250000.0,250000,1.0,False
G0017,37.53377733103142,127.07599293825996,250000.0,250000,1.0,False
G0018,37.53828401308889,127.075967420783,250000.0,250000,1.0,False
G0019,37.5427906916835,127.0759418976218,250000.0,250000,1.0,False
G0020,37.547297366815116,127.07591636877508,250000.0,250000,1.0,False
G0021,37.55180403848359,127.07589083424145,250000.0,250000,1.0,False
G0022,37.55611222902993,127.07586641895375,249557.63,250000,0.9982,True
G0023,37.560659509815444,127.07584064303913,241086.32,250000,0.9643,True
G0024,37.56535360802556,127.07668893786338,168578.31,250000,0.6743,True
G0025,37.52572841188587,127.08169714425455,192544.64,250000,0.7702,True
G0026,37.52929082536761,127.08167725100141,250000.0,250000,1.0,False
G0027,37.533797514153036,127.08165207968399,250000.0,250000,1.0,False
G0028,37.53830419947613,127.08162690275954,250000.0,250000,1.0,False
G0029,37.542810881336784,127.08160172022674,250000.0,250000,1.0,False
G0030,37.54731755973481,127.08157653208426,250000.0,250000,1.0,False
G0031,37.55182423467007,127.08155133833077,250000.0,250000,1.0,False
G0032,37.55633090614245,127.08152613896499,250000.0,250000,1.0,False
G0033,37.56083757415176,127.08150093398557,250000.0,250000,1.0,False
G0034,37.5653442386979,127.08147572339118,250000.0,250000,1.0,False
G0035,37.5693942984801,127.08145306226747,219068.9,250000,0.8763,True
G0036,37.525442047881796,127.08577226371183,78852.67,250000,0.3154,True
G0037,37.52931073409141,127.08733605755447,250000.0,250000,1.0,False
G0038,37.53381742609822,127.08731122671504,250000.0,250000,1.0,False
G0039,37.53832411464309,127.08728639034445,250000.0,250000,1.0,False
G0040,37.54283079972588,127.08726154844133,250000.0,250000,1.0,False
G0041,37.547337481346425,127.08723670100444,250000.0,250000,1.0,False
G0042,37.551844159504604,127.08721184803244,250000.0,250000,1.0,False
G0043,37.55635083420027,127.08718698952401,250000.0,250000,1.0,False
G0044,37.560857505433276,127.0871621254779,250000.0,250000,1.0,False
G0045,37.56536417320346,127.08713725589276,250000.0,250000,1.0,False
G0046,37.56871587949938,127.0871187562396,168726.28,250000,0.6749,True
G0047,37.529273488855786,127.09157151233481,127338.76,250000,0.5094,True
G0048,37.533837066866155,127.0929703792773,250000.0,250000,1.0,False
G0049,37.538343758588915,127.09294588346184,250000.0,250000,1.0,False
G0050,37.54285044684996,127.09292138218973,250000.0,250000,1.0,False
G0051,37.54735713164917,127.09289687545972,250000.0,250000,1.0,False
G0052,37.55186381298637,127.09287236327047,250000.0,250000,1.0,False
G0053,37.55637049086144,127.09284784562075,250000.0,250000,1.0,False
G0054,37.56087716527421,127.09282332250923,250000.0,250000,1.0,False
G0055,37.565383836224555,127.09279879393466,250000.0,250000,1.0,False
G0056,37.568671240828884,127.09278089803398,146735.7,250000,0.5869,True
G0057,37.53331232313368,127.0969410273573,130736.85,250000,0.5229,True
G0058,37.538363131312806,127.09860538203587,250000.0,250000,1.0,False
G0059,37.542869822708234,127.09858122139606,250000.0,250000,1.0,False
G0060,37.5473765106422,127.09855705537421,250000.0,250000,1.0,False
G0061,37.551883195114534,127.09853288396904,250000.0,250000,1.0,False
G0062,37.5563898761251,127.09850870717928,250000.0,250000,1.0,False
G0063,37.560789817271726,127.09845416251034,249074.72,250000,0.9963,True
G0064,37.56540322776034,127.09846033744095,250000.0,250000,1.0,False
G0065,37.569137487628296,127.0984402913707,236835.46,250000,0.9473,True
G0066,37.539127691320196,127.10341771085075,133378.13,250000,0.5335,True
G0067,37.54288892729989,127.10424106598445,250000.0,250000,1.0,False
G0068,37.54739561832473,127.10421724067203,250000.0,250000,1.0,False
G0069,37.551902305888305,127.10419341005218,250000.0,250000,1.0,False
G0070,37.55638146037551,127.10321264982537,187274.66,250000,0.7491,True
G0071,37.56987072370268,127.10236951835081,101720.47,250000,0.4069,True
G0072,37.54320492109735,127.10816598485296,87469.31,250000,0.3499,True
G0073,37.54776205510794,127.10926782803043,186473.93,250000,0.7459,True
G0074,37.55129953836503,127.1095716852385,231637.61,250000,0.9266,True
G0075,37.555603265693854,127.10983474554912,226056.85,250000,0.9042,True
G0076,37.55659727131313,127.11390867719572,68958.94,250000,0.2758,True
